No,Price,Area,Bedrooms,WCs,District,Floors,Legal_status,Frontage,Price_per_sqm,District_encoded,Month
865,13.5,109.0,3.0,3.0,quan-9,5.0,-1.0,-1.0,0.12,8,7
866,5.0,50.0,3.0,2.0,quan-9,3.0,1.0,1.0,0.1,8,7
867,4.79,53.0,4.0,3.0,quan-9,3.0,1.0,1.0,0.09,8,7
868,4.0,110.0,3.0,2.0,quan-9,3.0,-1.0,-1.0,0.04,8,7
869,3.4,48.0,4.0,2.0,quan-9,2.0,-1.0,-1.0,0.07,8,7
870,11.37,80.0,2.0,2.0,quan-9,4.0,1.0,-1.0,0.14,8,7
871,4.0,62.0,2.0,2.0,quan-9,3.0,1.0,0.0,0.06,8,7
872,5.0,53.0,4.0,3.0,quan-9,3.0,1.0,0.0,0.09,8,7
873,7.0,230.0,5.0,6.0,quan-9,3.0,1.0,1.0,0.03,8,7
874,3.4,63.0,2.0,2.0,quan-9,2.0,1.0,1.0,0.05,8,6
875,11.37,158.0,5.0,5.0,quan-9,2.0,-1.0,1.0,0.07,8,6
876,5.6,83.0,2.0,2.0,quan-9,2.0,-1.0,0.0,0.07,8,6
877,6.5,140.0,3.0,2.0,quan-9,3.0,1.0,0.0,0.05,8,6
878,4.8,53.0,3.0,4.0,quan-9,3.0,1.0,-1.0,0.09,8,6
879,6.5,67.0,4.0,5.0,quan-9,5.0,1.0,1.0,0.1,8,6
880,3.3,90.0,3.0,2.0,quan-9,1.0,1.0,1.0,0.04,8,6
881,4.5,54.0,3.0,4.0,quan-9,3.0,1.0,-1.0,0.08,8,6
882,3.3,40.0,3.0,2.0,quan-9,3.0,-1.0,1.0,0.08,8,6
883,5.5,95.0,3.0,2.0,quan-9,3.0,-1.0,1.0,0.06,8,6
884,2.0,43.0,2.0,1.0,quan-9,2.0,-1.0,1.0,0.05,8,6
885,3.3,54.0,3.0,2.0,quan-9,2.0,1.0,-1.0,0.06,8,6
886,3.2,55.0,2.0,2.0,quan-9,3.0,1.0,-1.0,0.06,8,6
887,3.6,56.0,2.0,2.0,quan-9,2.0,-1.0,-1.0,0.06,8,6
888,11.37,92.0,3.0,2.0,quan-9,2.0,1.0,-1.0,0.12,8,6
889,2.5,50.0,2.0,2.0,quan-9,2.0,-1.0,1.0,0.05,8,6
890,4.5,82.0,4.0,3.0,quan-9,2.0,1.0,-1.0,0.05,8,6
891,11.37,55.0,4.0,4.0,quan-9,3.0,1.0,1.0,0.21,8,6
892,10.2,148.0,2.0,2.0,quan-9,2.0,1.0,1.0,0.07,8,6
