District,District_encoded
quan-1,0
quan-2,1
quan-3,2
quan-4,3
quan-5,4
quan-6,5
quan-7,6
quan-8,7
quan-9,8
quan-10,9
quan-11,10
quan-12,11
binh-chanh,12
binh-tan,13
binh-thanh,14
can-gio,15
cu-chi,16
go-vap,17
hoc-mon,18
nha-be,19
phu-nhuan,20
tan-binh,21
tan-phu,22
thu-duc,23
