Price,Area,Bedrooms,WCs,District,Floors,Legal_status,Price_per_sqm,District_encoded,Month,Frontage_1,Frontage_0
4.52,55.0,2.0,2.0,quan-1,2.0,0.0,0.08,0,6,0,0
16.0,72.0,4.0,5.0,quan-1,4.0,1.0,0.22,0,5,0,0
35.9,70.0,5.0,5.0,quan-1,5.0,1.0,0.51,0,5,0,0
35.0,80.0,6.0,5.0,quan-1,5.0,1.0,0.44,0,5,1,0
75.0,240.0,12.0,12.0,quan-1,8.0,1.0,0.31,0,5,1,0
90.0,180.0,10.0,10.0,quan-1,8.0,1.0,0.5,0,5,1,0
29.0,85.0,5.0,5.0,quan-1,4.0,1.0,0.34,0,5,0,0
148.0,362.0,6.0,6.0,quan-1,7.0,1.0,0.41,0,5,0,0
5.25,31.0,3.0,3.0,quan-1,3.0,0.0,0.17,0,4,0,0
32.0,92.0,5.0,6.0,quan-1,4.0,1.0,0.35,0,4,1,0
72.0,142.0,5.0,4.0,quan-1,6.0,1.0,0.51,0,4,0,0
32.0,55.0,4.0,5.0,quan-1,4.0,0.0,0.58,0,4,1,0
5.4,45.0,3.0,2.0,quan-1,3.0,1.0,0.12,0,3,0,1
18.5,54.0,11.0,11.0,quan-1,5.0,0.0,0.34,0,3,0,1
13.8,30.5,4.0,2.0,quan-1,3.0,0.0,0.45,0,3,1,0
130.0,241.0,3.0,4.0,quan-1,3.0,1.0,0.54,0,3,1,0
10.0,65.0,4.0,3.0,quan-1,4.0,0.0,0.15,0,3,0,1
30.0,115.0,4.0,3.0,quan-1,4.0,0.0,0.26,0,3,1,0
32.0,45.0,2.0,2.0,quan-1,2.0,0.0,0.71,0,3,1,0
2.55,14.0,2.0,2.0,quan-1,2.0,1.0,0.18,0,3,0,1
38.0,80.0,6.0,5.0,quan-1,5.0,1.0,0.48,0,3,1,0
32.0,45.0,2.0,2.0,quan-1,2.0,0.0,0.71,0,3,1,0
37.0,45.0,3.0,3.0,quan-1,3.0,1.0,0.82,0,3,1,0
45.0,110.0,4.0,4.0,quan-1,4.0,1.0,0.41,0,3,1,0
33.0,64.0,3.0,3.0,quan-1,3.0,1.0,0.52,0,3,1,0
31.0,115.0,4.0,4.0,quan-1,4.0,1.0,0.27,0,3,0,1
55.0,72.0,13.0,5.0,quan-1,4.0,1.0,0.76,0,3,1,0
35.0,64.0,3.0,3.0,quan-1,3.0,1.0,0.55,0,3,0,0
7.3,54.0,3.0,2.0,quan-1,2.0,0.0,0.14,0,3,0,1
8.5,39.1,6.0,4.0,quan-1,4.0,1.0,0.22,0,3,0,1
7.9,30.0,3.0,4.0,quan-1,4.0,1.0,0.26,0,3,0,1
7.9,33.0,3.0,3.0,quan-1,4.0,1.0,0.24,0,3,0,1
79.0,115.0,31.0,31.0,quan-1,10.0,1.0,0.69,0,2,1,0
25.0,62.0,4.0,5.0,quan-1,4.0,0.0,0.4,0,2,0,0
26.0,85.0,3.0,3.0,quan-1,2.0,0.0,0.31,0,2,0,0
7.9,30.0,4.0,4.0,quan-1,4.0,1.0,0.26,0,2,1,0
7.0,90.0,6.0,2.0,quan-1,4.0,1.0,0.08,0,2,1,0
477.0,950.0,35.0,5.0,quan-1,2.0,1.0,0.5,0,2,0,0
15.8,64.0,5.0,4.0,quan-1,4.0,1.0,0.25,0,2,0,1
3.8,29.0,4.0,3.0,quan-1,3.0,1.0,0.13,0,2,0,0
5.5,24.0,3.0,4.0,quan-1,4.0,1.0,0.23,0,2,0,1
7.5,70.0,2.0,2.0,quan-1,2.0,1.0,0.11,0,1,0,1
16.0,80.0,6.0,6.0,quan-2,3.0,0.0,0.2,1,12,1,0
15.8,80.0,4.0,4.0,quan-2,4.0,0.0,0.2,1,12,0,0
14.5,71.0,5.0,4.0,quan-2,4.0,1.0,0.2,1,12,1,0
16.0,80.0,4.0,4.0,quan-2,4.0,0.0,0.2,1,12,1,0
8.7,54.0,1.0,1.0,quan-2,4.0,1.0,0.16,1,11,0,0
22.5,80.0,5.0,5.0,quan-2,5.0,1.0,0.28,1,11,1,0
17.5,80.0,4.0,4.0,quan-2,3.0,0.0,0.22,1,11,1,0
16.5,80.0,4.0,4.0,quan-2,3.0,0.0,0.21,1,11,1,0
16.0,80.0,4.0,4.0,quan-2,3.0,0.0,0.2,1,11,1,0
17.0,80.0,5.0,5.0,quan-2,4.0,0.0,0.21,1,11,0,0
7.5,46.0,2.0,1.0,quan-2,2.0,0.0,0.16,1,11,0,1
16.0,80.0,4.0,5.0,quan-2,3.0,0.0,0.2,1,11,1,0
9.9,61.0,2.0,1.0,quan-2,5.0,1.0,0.16,1,11,0,0
30.0,144.0,1.0,1.0,quan-2,5.0,1.0,0.21,1,11,1,0
9.5,51.0,6.0,7.0,quan-2,5.0,0.0,0.19,1,11,0,0
7.5,46.0,2.0,1.0,quan-2,4.0,1.0,0.16,1,11,0,0
9.8,60.0,2.0,1.0,quan-2,5.0,1.0,0.16,1,11,1,0
17.5,147.0,4.0,3.0,quan-2,3.0,1.0,0.12,1,11,1,0
8.9,60.0,2.0,2.0,quan-2,4.0,0.0,0.15,1,11,1,0
6.38,59.0,3.0,3.0,quan-2,3.0,0.0,0.11,1,11,0,0
23.5,125.0,11.0,11.0,quan-2,6.0,1.0,0.19,1,11,0,0
6.8,96.0,5.0,5.0,quan-2,3.0,1.0,0.07,1,11,1,0
7.5,75.0,4.0,5.0,quan-2,5.0,1.0,0.1,1,11,0,0
6.9,60.0,3.0,4.0,quan-2,3.0,0.0,0.12,1,11,0,0
19.0,168.0,10.0,10.0,quan-2,5.0,0.0,0.11,1,10,1,0
25.0,126.0,11.0,11.0,quan-2,6.0,1.0,0.2,1,10,0,0
10.0,51.0,7.0,7.0,quan-2,4.0,0.0,0.2,1,10,0,1
6.0,119.0,3.0,3.0,quan-2,3.0,1.0,0.05,1,10,0,0
10.0,51.0,6.0,6.0,quan-2,4.0,0.0,0.2,1,10,0,1
17.9,80.0,4.0,3.0,quan-2,4.0,0.0,0.22,1,10,0,0
9.9,120.0,4.0,7.0,quan-2,5.0,1.0,0.08,1,10,1,0
6.95,86.0,4.0,5.0,quan-2,4.0,1.0,0.08,1,10,0,0
8.9,54.0,2.0,2.0,quan-2,4.0,1.0,0.16,1,10,1,0
19.0,115.0,3.0,3.0,quan-2,3.0,0.0,0.17,1,10,1,0
15.5,80.0,5.0,4.0,quan-2,3.0,1.0,0.19,1,10,1,0
18.5,147.0,4.0,3.0,quan-2,3.0,1.0,0.13,1,10,1,0
4.0,42.0,2.0,2.0,quan-2,2.0,0.0,0.1,1,10,0,0
19.0,80.0,5.0,6.0,quan-2,4.0,0.0,0.24,1,10,0,0
4.0,54.0,3.0,2.0,quan-2,2.0,0.0,0.07,1,10,0,1
26.0,218.0,5.0,5.0,quan-2,3.0,1.0,0.12,1,10,1,0
18.0,205.0,4.0,3.0,quan-2,3.0,0.0,0.09,1,10,1,0
8.2,65.0,3.0,3.0,quan-2,4.0,0.0,0.13,1,10,0,0
23.7,158.0,4.0,3.0,quan-2,4.0,1.0,0.15,1,10,0,0
29.0,183.0,3.0,3.0,quan-2,3.0,1.0,0.16,1,10,0,0
2.85,40.0,3.0,2.0,quan-2,2.0,1.0,0.07,1,9,0,1
3.6,60.0,3.0,2.0,quan-2,2.0,1.0,0.06,1,9,0,0
3.0,49.0,3.0,3.0,quan-2,3.0,1.0,0.06,1,9,0,0
3.0,72.0,3.0,2.0,quan-2,1.0,0.0,0.04,1,9,0,0
3.6,72.0,3.0,2.0,quan-2,2.0,1.0,0.05,1,9,0,0
6.0,82.0,5.0,5.0,quan-2,4.0,1.0,0.07,1,9,0,0
5.8,94.0,3.0,2.0,quan-2,4.0,1.0,0.06,1,9,0,1
6.0,85.0,5.0,5.0,quan-2,3.0,1.0,0.07,1,9,0,0
11.0,55.0,3.0,3.0,quan-2,3.0,0.0,0.2,1,9,0,0
6.99,68.5,4.0,3.0,quan-2,2.0,0.0,0.1,1,9,1,0
13.5,61.0,8.0,4.0,quan-2,4.0,1.0,0.22,1,9,0,0
